AuthorYear,Strain,Species,DietSwitch,CR,HFDDIO,WT,Age,Gender,Cont_n,Cont_Mean,Cont_SD,Treat_n,Treat_Mean,Treat_SD
Barbosa 2014,c57bL,mouse,1,0,1,,12,M,8,8.4,0.4,8,7.8,0.2
Caria 2017,Swiss,mouse,1,0,1,,5,M,5,201,10,5,204,16
Jen 1997,SD,rat,0,1,1,,,F,12,7.69,1.01,12,6.73,0.63
Chikamoto 2016,c57bL,mouse,1,0,1,,6,M,8,294,24.18181818,8,318.1818182,7.636363636
Contreras 1989,SD,rat,1,1,1,,7,M,6,133.6,17.5,6,120.6,13.7
Kim 2019,c57bL,mouse,1,0,1,,4,M,10,165,9.705882353,10,228.0882353,19.85294118
Li 2018,c57bL,mouse,1,0,1,2,8,M,10,10.90909091,1.090909091,10,10.61157025,1.090909091
List 2013,c57bL,mouse,1,0,1,,4,M,10,228.2926829,8.780487805,9,241.4634146,8.780487805
Lu 1995,Wistar,rat,0,1,1,,,F,10,17.75,0.78,10,17.08,0.5
Maclean 2009,Wistar,rat,1,1,1,,,M,12,7.7,0.3,10,7.1,0.2
Reed 1993,Wistar,rat,1,1,1,,,F,10,152.8,5.23,10,147.68,7.34
Schofield 2017,c57bL,mouse,1,0,1,,9,M,11,9.7,1.6,11,9.7,1.2
Sea 2000 (a),SD,rat,0,1,1,2,,M,5,16.48199446,0.780455859,5,17.93628809,0.823814518
Sea 2000 (b),SD,rat,0,1,1,2,,M,5,16.53409091,0.559016994,5,18.57954545,0.431967677
Simonds 2018,c57bL,mouse,1,0,1,,4,M,10,2667,,10,2091,
Stein 1992 ,SD,rat,1,1,1,,4,F,9,132,7,10,115,3
Sun 2020,c57bL,mouse,1,0,1,,6,M,5,10.28956229,0.484848485,5,12.87542088,0.592592593
Thaiss 2016,c57bL,mouse,1,0,1,1,8,M,10,143,6.37,10,118.4055118,2.657480315
Palm 2017,c57bL,mouse,0,1,1,,,M,8,12.11,0.72,8,11.48,0.58
Seimon 2016,c57bL,mouse,1,1,1,,3,M,3,8.5,0.4,5,8.3,0.3
