Nr,ES_ID,Comp_ID,Exp_ID,Study,Shared_control,Within_exp_id,Control_id,First_author,Year,J_abbr_name,animal,Strain,Dam_diet_choice_chow,Cont_Mean,Cont_SD,Cont_n,Treat_Mean,Treat_SD,Treat_n
1,ES284,"Comp1280,Comp1281,Comp1282,Comp1283,Comp1284,Comp1285,Comp1286,Comp1287,Comp1288,Comp1289,Comp1290,Comp1291,Comp1292,Comp1293,Comp1294,Comp1295,Comp1296,Comp1297,Comp1298,Comp1299",Exp152,Study100,yes,1,Exp152_M_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,501.6155,48.54769943,16,493.9395,47.54525928,16
2,ES283,"Comp1260,Comp1261,Comp1262,Comp1263,Comp1264,Comp1265,Comp1266,Comp1267,Comp1268,Comp1269,Comp1270,Comp1271,Comp1272,Comp1273,Comp1274,Comp1275,Comp1276,Comp1277,Comp1278,Comp1279",Exp152,Study100,yes,2,Exp152_M_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,501.6155,48.54769943,16,593.3765,66.36581891,16
3,ES285,"Comp1300,Comp1301,Comp1302,Comp1303,Comp1304,Comp1305,Comp1306,Comp1307,Comp1308,Comp1309,Comp1310,Comp1311,Comp1312,Comp1313,Comp1314,Comp1315,Comp1316,Comp1317,Comp1318,Comp1319",Exp152,Study100,yes,1,Exp152_F_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,298.6775,36.66465982,16,336.5355,37.20264507,16
4,ES286,"Comp1320,Comp1321,Comp1322,Comp1323,Comp1324,Comp1325,Comp1326,Comp1327,Comp1328,Comp1329,Comp1330,Comp1331,Comp1332,Comp1333,Comp1334,Comp1335,Comp1336,Comp1337,Comp1338,Comp1339",Exp152,Study100,yes,2,Exp152_F_1_SC,Desai,2014,Am J Obstet Gynecol,rat,Sprague-Dawley,chow,298.6775,36.66465982,16,282.0845,40.44956465,16
5,ES303,Comp1434,Exp160,Study108,no,1,Exp160_M_0_1,Magliano,2013,Plos ONE,mouse,C57BL/6J,chow,26.61,1.739252713,10,29.31,1.328156617,10
6,ES309,Comp1464,Exp163,Study111,no,1,Exp163_M_0_1,Ornellas,2013,Life Sci,mouse,C57BL/6J,choice,21.25,1.229837388,5,24.28,1.050951949,5
7,ES310,Comp1465,Exp163,Study111,no,1,Exp163_F_0_1,Ornellas,2013,Life Sci,mouse,C57BL/6J,choice,15.24,0.827345152,5,18.62,0.626099034,5
8,ES329,"Comp1537,Comp1538,Comp1539,Comp1540,Comp1541,Comp1542,Comp1543,Comp1544,Comp1545",Exp175,Study121,no,1,Exp175_M_0_1,Zhang,2011,J Nutr,rat,Sprague-Dawley,chow,303.0966667,57.89507175,10,307.38,51.03694838,9
9,ES102,"Comp0493,Comp0495",Exp055,Study039,yes,1,Exp055_M_1_SC,Chang,2008,J Neurosci,rat,Sprague-Dawley,chow,228.045,42.56644101,6,290.6,39.74742633,6
10,ES103,"Comp0494,Comp0496",Exp055,Study039,yes,2,Exp055_M_1_SC,Chang,2008,J Neurosci,rat,Sprague-Dawley,chow,228.045,42.56644101,6,270.125,33.81261303,6
11,ES051,Comp0147,Exp023,Study021,no,1,Exp023_FM_0_1,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,690.6,91.10587248,12,706.6,85.90972006,12
12,ES054,Comp0150,Exp025,Study023,no,1,Exp025_M_0_1,Rajia,2010,J Neuroendocrinol,rat,Sprague-Dawley,choice,353.71,8.538149682,10,425.62,14.19862669,10
13,ES050,Comp0146,Exp023,Study021,no,2,Exp023_FM_0_2,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,573.3,70.32126279,12,603.7,81.40638796,12
14,ES314,Comp1469,Exp165,Study113,no,1,Exp165_F_0_1,Rajia,2012,thesis,rat,Sprague-Dawley,choice,232.39,11.22497216,14,247.56,9.486832981,10
15,ES334,"Comp1570,Comp1571,Comp1572,Comp1573,Comp1574,Comp1575,Comp1576,Comp1577,Comp1578,Comp1579,Comp1580",Exp177,Study123,no,1,Exp177_M_0_1,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,399.0036364,144.2798856,7,357.71,169.6455288,4
16,ES333,"Comp1564,Comp1565,Comp1566,Comp1567,Comp1568,Comp1569",Exp176,Study122,yes,1,Exp176_M_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,256.3516667,31.07340422,9,233.9366667,24.9694747,10
17,ES331,"Comp1552,Comp1553,Comp1554,Comp1555,Comp1556,Comp1557",Exp176,Study122,yes,2,Exp176_M_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,256.3516667,31.07340422,9,234.1883333,23.66837447,9
18,ES330,"Comp1546,Comp1547,Comp1548,Comp1549,Comp1550,Comp1551",Exp176,Study122,yes,1,Exp176_F_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,186.3133333,15.0593974,9,164.2866667,10.60228042,9
19,ES332,"Comp1558,Comp1559,Comp1560,Comp1561,Comp1562,Comp1563",Exp176,Study122,yes,2,Exp176_F_1_SC,Zhang ZY,2011,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,186.3133333,15.0593974,9,171.7883333,17.08165683,10
20,ES335,"Comp1581,Comp1582,Comp1583,Comp1584,Comp1585,Comp1586,Comp1587,Comp1588,Comp1589,Comp1590,Comp1591",Exp177,Study123,no,2,Exp177_M_0_2,Zhang ZY,2013,Clin Exp Pharm Physio,rat,Sprague-Dawley,choice,403.1381818,182.6512512,8,400.4254545,163.972941,4
21,ES196,Comp0860,Exp116,Study075,no,1,Exp116_F_0_1,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,219.7,10.5,9,210.4,12.6,9
22,ES193,"Comp0855,Comp0857",Exp114,Study074,yes,1,Exp114_M_1_SC,Kozak,2005,Eur J Neurosci,rat,Long-Evans,chow,234.33,9.046637497,33,203.98,12.4131382,24
23,ES190,Comp0852,Exp113,Study073,yes,1,Exp113_M_1_SC,Kozak,2000,Dev Brain Res,rat,Long-Evans,chow,510,101.6787588,33,495.2,43.5,25
24,ES192,"Comp0854,Comp0856",Exp114,Study074,yes,2,Exp114_M_1_SC,Kozak,2005,Eur J Neurosci,rat,Long-Evans,chow,234.33,9.046637497,33,232.84,12.69852354,25
25,ES191,Comp0853,Exp113,Study073,yes,2,Exp113_M_1_SC,Kozak,2000,Dev Brain Res,rat,Long-Evans,chow,510,101.6787588,33,442.8,41.15142768,24
26,ES194,Comp0858,Exp115,Study075,no,1,Exp115_M_0_1,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,342.5,19.8,9,340.7,30.6,9
27,ES202,Comp0866,Exp119,Study076,no,1,Exp119_F_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,266,25.45584412,18,248,19.59591794,24
28,ES200,Comp0864,Exp118,Study076,no,1,Exp118_M_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,483,54.99090834,21,417,50.40833264,21
29,ES198,Comp0862,Exp117,Study076,no,1,Exp117_M_0_1,Couvreur,2011,Plos ONE,rat,Wistar,chow,453.9,76.33936075,20,449.36,88.36940647,20
30,ES262,Comp1239,Exp143,Study091,no,1,Exp143_M_0_1,Gugusheff,2013,J Dev Orig Health Disease,rat,Wistar,choice,479.25,31.88632936,5,414.56,41.41197894,5
31,ES263,Comp1240,Exp143,Study091,no,1,Exp143_F_0_1,Gugusheff,2013,J Dev Orig Health Disease,rat,Wistar,choice,330.66,11.6051928,5,278.69,24.37314095,5
32,ES295,Comp1348,Exp156,Study104,yes,1,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,174.95,20.2701998,10,167.8,28.20751673,10
33,ES294,Comp1347,Exp156,Study104,yes,2,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,174.95,20.2701998,10,189.6,22.89489026,10
34,ES308,"Comp1459,Comp1460,Comp1461,Comp1462,Comp1463",Exp162,Study110,no,1,Exp162_M_0_1,Mucellini,2014,Brit J Nutr,rat,Wistar,choice,71.556,8.283129843,16,75.314,9.733697139,21
35,ES293,Comp1346,Exp156,Study104,yes,3,Exp156_FM_1_SC,Jacobs,2014,Physiol Behav,rat,Wistar,choice,174.95,20.2701998,10,174.8,25.58282627,10
36,ES184,Comp0812,Exp109,Study070,no,1,Exp109_F_0_1,Oliveira,2011,Lipids,rat,Wistar,chow,323.91,81.17566754,10,377.52,107.4541949,10
37,ES110,"Comp0503,Comp0505",Exp062,Study042,no,1,Exp062_M_0_1,White,2009,Am J Physiol Regul Integr Comp Physiol,rat,Long-Evans,chow,269.8,29.00432726,15,296.92,32.15650401,15
38,ES104,Comp0497,Exp056,Study040,no,1,Exp056_M_0_1,Page,2009,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,544,33.60178567,12,605,34.98742631,12
39,ES322,Comp1498,Exp170,Study118,no,1,Exp170_M_0_1,Turdi,2013,J Mol Cell Cardiol,mouse,FVB,chow,26.7,2.993325909,14,29.1,4.864154603,14
40,ES328,"Comp1520,Comp1521,Comp1522,Comp1523,Comp1524,Comp1525,Comp1526,Comp1527,Comp1528,Comp1529,Comp1530,Comp1531,Comp1532,Comp1533,Comp1534,Comp1535,Comp1536",Exp174,Study120,yes,1,Exp174_M_1_SC,Platt,2014,J Dev Orig Health Disease,mouse,ICR,chow,40.82764706,7.20875285,16,41.84882353,7.302119354,11
41,ES327,"Comp1503,Comp1504,Comp1505,Comp1506,Comp1507,Comp1508,Comp1509,Comp1510,Comp1511,Comp1512,Comp1513,Comp1514,Comp1515,Comp1516,Comp1517,Comp1518,Comp1519",Exp174,Study120,yes,2,Exp174_M_1_SC,Platt,2014,J Dev Orig Health Disease,mouse,ICR,chow,40.82764706,7.20875285,16,43.20117647,9.170786418,15
42,ES323,Comp1499,Exp170,Study118,no,2,Exp170_M_0_2,Turdi,2013,J Mol Cell Cardiol,mouse,FVB,chow,30.9,2.619160171,14,38.1,6.184658438,17
43,ES105,Comp0498,Exp057,Study040,no,1,Exp057_M_0_1,Page,2009,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,656,33.94819583,12,755,38.79793809,12
44,ES279,Comp1256,Exp149,Study097,no,1,Exp149_M_0_1,Beltrand,2012,J Nutr Metab,rat,Wistar,chow,391.21,49.7803174,8,408.09,49.7803174,8
45,ES112,Comp0507,Exp062,Study042,no,2,Exp062_M_0_2,White,2009,Am J Physiol Regul Integr Comp Physiol,rat,Long-Evans,chow,409.52,27.60668397,10,448.41,55.21336795,10
46,ES281,Comp1258,Exp151,Study099,no,1,Exp151_M_0_1,Dahlhoff,2014,Biochim Biophys Acta,mouse,NMRI,chow,37.61,2.658721497,8,39.24,2.213594362,10
47,ES282,Comp1259,Exp151,Study099,no,2,Exp151_M_0_2,Dahlhoff,2014,Biochim Biophys Acta,mouse,NMRI,chow,33.42,3,9,30.26,2.213594362,10
48,ES336,Comp1592,Exp178,Study124,no,1,Exp178_F_0_1,Flynn,2013,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,choice,239.57,17.5079639,8,251.82,20.9431373,6
49,ES291,Comp1344,Exp154,Study102,yes,1,Exp154_M_1_SC,Gregorio,2013,Eur J Nutr,mouse,C57BL/6,chow,22.2,1.118033989,5,32.2,4.248529157,5
