row.id,pub.date,study.name,organism.grp,functional.grp,scale.grp,crop.grp,region,samp.unit,Cont_Mean,Treat_Mean,Cont_n,Treat_n,Cont_SD,Treat_SD,pooled.sd,hedges.g,samp.var,logRR,logRR.var,num.habitats,mean.field.size,sd.field.size,median.field.size,field.cov,forest.cov,pasture.cov,wetland.cov,water.cov,urban.cov,rural.cov,line.cov
1,2003,Aude,Plants,Producer,Farm,Unspec,NEurope,plants.per.10msq,28.8,38.7,13,13,3.97,5.76,4.946640274,1.9382,0.2321,0.295464213,0.003165721,12.8102482,120.8333333,127.6701254,90.5,0.725580464,0.096076862,0.121497198,0,0,0,0.017614091,0.039231385
2,1995,BTO1995,Arth,Other,Farm,Unspec,WCEurope,,22.5,28.5,2,2,2.12,6.36,4.740464112,0.723256489,1.130774987,0.236388778,0.029338637,14.41441441,114.2758621,97.6070462,67,0.663463463,0.148148148,0.072072072,0,0.002402402,0.015815816,0.057057057,0.041041041
3,1995,BTO1995,Arth,Pred,Farm,Unspec,WCEurope,,22.38,20.85,7,8,4.14,3.98,4.054630781,-0.355149477,0.272708341,-0.070813755,0.009443322,14.41441441,114.2758621,97.6070462,67,0.663463463,0.148148148,0.072072072,0,0.002402402,0.015815816,0.057057057,0.041041041
4,1996,Christensenetal.1996,Birds,Other,Farm,Mixed,NEurope,num.breeding.birds,1.91,3.06,4,4,2.55,1.48,2.08481414,0.479659064,0.519172735,0.471311674,0.504090454,8.280757098,187.8947368,125.3660838,177,0.703864353,0.02681388,0.037657729,0,0,0.057176656,0.116522082,0.0579653
5,2001,Dolesetal.2001,Arth,Decomp,Field,Orchard,NAmerica,num.sp.per.yr,24.7,27.7,3,3,3.21,4.58,3.954775594,0.606861235,0.712701736,0.11462917,0.01474259,8.638007232,184.3636364,161.8378217,128,0.814785054,0,0.060466051,0,0,0,0.091201286,0.03354761
6,1995,Drinkwateretal.1995,Arth,Pred,Farm,Veg,NAmerica,num.sp.per.1.5msq,12.7,24.9,14,17,10.1,16.9,14.25856065,0.833305649,0.142224485,0.67326581,0.072273233,4.809619238,344.8461538,212.2262339,303,0.898396794,0,0,0.064529058,0,0,0,0.037074148
7,1995,Drinkwateretal.1995,Arth,Pred,Farm,Veg,NAmerica,num.sp.per.1.5msq,8.6,12.6,14,17,5.23,7.01,6.27482463,0.620838414,0.136897624,0.381934611,0.044624012,4.809619238,344.8461538,212.2262339,303,0.898396794,0,0,0.064529058,0,0,0,0.037074148
8,1998,Feberetal.1998,Arth,Pred,Farm,Cereal,WCEurope,num.sp.per.month,4.61,5.87,6,6,0.5,0.45,0.47565744,2.445198636,0.632283152,0.241626777,0.002940075,10.42637874,160.28,124.5266103,130,0.803432685,0.026065947,0.083812045,0,0,0,0.017845148,0.068844176
9,1982,DritschiloAndErwin1982,Arth,Pred,Farm,Cereal,NAmerica,num.sp,7.2,12,5,5,2.39,3.67,3.096853242,1.399964265,0.522493746,0.510825624,0.040744228,7.607607608,228.8333333,179.235714,170,0.824624625,0.032032032,0.025225225,0,0,0,0.043643644,0.074474475
10,1980,DritschiloAndWanner1980,Arth,Pred,Farm,Cereal,NAmerica,num.sp,4.63,8,8,8,1.6,1.6,1.6,1.991363636,0.39162604,0.546884674,0.019927531,7.009813739,240.7647059,256.8079364,138,0.819747647,0.014820749,0.028840377,0,0,0.037452433,0.023232526,0.075906269
11,1994,FluetschAndSparling1994,Birds,Other,Farm,Orchard,NAmerica,num.sp,8.5,18,3,3,0.71,7.07,5.02439051,1.512621279,0.952669558,0.750305594,0.053750515,6.816359262,247.6,175.5040903,218,0.744587009,0.122293504,0,0,0,0,0.107257418,0.025862069
12,1997,Foissner1997,Protozoa,Decomp,Farm,Grass,WCEurope,num.sp,28.5,29.5,2,2,2.12,0.7,1.578670327,0.361968273,1.032755258,0.034486176,0.003048164,13.78896882,113.962963,73.55922861,93,0.614908074,0.084132694,0.07793765,0,0,0.06235012,0.130095923,0.03057554
13,1997,Foissner1997,Protozoa,Decomp,Farm,Grass,WCEurope,num.sp,75,70.5,2,2,1.41,16.26,11.54070405,-0.222813839,1.012411502,-0.061875404,0.026773732,13.78896882,113.962963,73.55922861,93,0.614908074,0.084132694,0.07793765,0,0,0.06235012,0.130095923,0.03057554
14,1993,Hesleretal.1993,Arth,Other,Farm,Cereal,NAmerica,num.sp.per.samp.date,13,12.67,3,3,4.36,1.53,3.267300109,-0.080800658,0.66748276,-0.025712363,0.042355087,6.617204732,250.2941176,186.0116813,210,0.853218368,0,0.010026068,0,0,0,0.02807299,0.108682575
15,1999,Granqvist1999,Plants,Producer,Farm,Cereal,NEurope,num.sp.per.transect,37.9,39.1,8,8,7.9,7.6,7.751451477,0.146365549,0.250765103,0.031171355,0.010153702,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
16,1999,Granqvist1999,Plants,Producer,Farm,Grass,NEurope,num.sp.per.transect,9.1,7.5,8,8,2.7,2.9,2.801785145,-0.539915516,0.260411027,-0.193371393,0.029692995,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
17,1986,HokkanenAndHolopainen1986,Arth,Pred,Field,Veg,WCEurope,num.sp,18,27.8,4,3,6.74,6.9,6.804451484,1.212828337,0.730428591,0.434664263,0.055586812,7.577268195,188.5294118,158.5926849,135,0.639082752,0.07337986,0.01335992,0,0,0.209172483,0.043270189,0.021734796
18,1989,Kromp1989,Arth,Pred,Plot,Cereal,WCEurope,num.sp,39.5,47.07,2,3,1.07,1.11,1.096828762,5.019429409,5.032445266,0.175335184,0.000552265,6.99720112,239.5263158,201.9511405,212,0.909836066,0.056577369,0,0,0,0.008396641,0,0.025189924
19,2002,Maederetal.2002,Arth,Pred,Plot,Cereal,WCEurope,num.sp,24,27.5,21,21,2.83,2.12,2.500329978,1.373403628,0.118816064,0.136132174,0.000945112,11.98083067,137.3333333,104.7733233,127.5,0.658146965,0.067092652,0.068889776,0,0,0.106629393,0.043929713,0.055311502
20,2002,Maederetal.2002,Plants,Producer,Plot,Cereal,WCEurope,num.sp,1,10,21,21,0,1.41,,,,,,11.98083067,137.3333333,104.7733233,127.5,0.658146965,0.067092652,0.068889776,0,0,0.106629393,0.043929713,0.055311502
21,2002,Maederetal.2002,Microbes,Decomp,Plot,Cereal,WCEurope,Soil.microbial.FD.Shannon.H,4.14,4.2,21,21,0.03,0.026,0.028071338,2.097082981,0.150210058,0.014388737,4.33E-06,11.98083067,137.3333333,104.7733233,127.5,0.658146965,0.067092652,0.068889776,0,0,0.106629393,0.043929713,0.055311502
22,2001,Salonenetal.2001,Plants,Producer,Field,Cereal,NEurope,num.sp,47.33,49.87,15,15,9.01,9.16,9.085309571,0.272016196,0.134654634,0.052275276,0.004665098,7.197121152,196.1764706,217.0789705,157,0.666733307,0.2485006,0,0,0,0,0.051179528,0.033586565
23,2000,Weibulletal.2000,Arth,Poll,Farm,Mixed,NEurope,num.sp,17.63,17.25,8,8,2.5,2.86,2.686037974,-0.13375564,0.250638949,-0.021789853,0.005949623,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
24,1994,Morebyetal.1994,Plants,Producer,Farm,Cereal,WCEurope,num.sp,3.42,11.28,28,28,2.94,2.94,2.94,2.636165164,0.13577456,1.193390695,0.028818891,8.201640328,225.9375,201.578593,191,0.723144629,0.070614123,0.082416483,0,0,0.055611122,0.015403081,0.052810562
25,1997,Yeatsetal.1997,Protozoa,Decomp,Field,Grass,WCEurope,num.sp,27.3,28.6,3,3,1.76,4.85,3.648294122,0.285064736,0.676824405,0.046520016,0.010971251,12.21465759,116.2857143,84.89857005,107,0.651982379,0.127753304,0.170004005,0,0,0,0,0.050260312
26,1997,PfiffnerAndMaeder1997,Earthworms,Decomp,Plot,Veg,WCEurope,num.sp,4.88,5.69,4,4,0.75,0.52,0.645329373,1.091454775,0.599272794,0.153565028,0.007993001,11.98083067,137.3333333,104.7733233,127.5,0.658146965,0.067092652,0.068889776,0,0,0.106629393,0.043929713,0.055311502
27,1996,PfiffnerAndNiggli1996,Arth,Pred,Plot,Cereal,WCEurope,num.sp,14.67,20,3,3,3.82,5.09,4.500027778,0.947549707,0.778897972,0.309927681,0.044191999,11.98083067,137.3333333,104.7733233,127.5,0.658146965,0.067092652,0.068889776,0,0,0.106629393,0.043929713,0.055311502
28,1990,Kromp1990,Arth,Pred,Plot,Veg,WCEurope,num.sp,28.5,33,2,2,4.95,5.66,5.316864678,0.483636264,1.058476009,0.146603474,0.029791826,8.771929825,174.7727273,131.0579413,152.5,0.766547049,0.134968102,0.022129187,0,0,0,0.04585327,0.030502392
29,1995,YounieAndArmstrong1995,Arth,Pred,Plot,Grass,WCEurope,num.sp,13.5,14.5,2,2,3.54,3.54,3.54,0.1614205,1.006514144,0.071458964,0.064181912,8.808808809,165.6315789,133.5653026,128,0.63003003,0.315915916,0.02042042,0,0,0,0,0.033633634
30,2010,CaballeroLopezetal.2010,Plants,Producer,Farm,Cereal,SEurope,num.sp,3.07,8.24,4,4,0.911,1.06,0.988311945,4.548819022,2.224312875,0.987322782,0.026151166,18.57340447,43.34210526,41.91450521,27,0.352104327,0.333135744,0.255285517,0,0,0,0,0.059474412
